id;exp;fam;nc;ac;dc;tchr;blup
1;1;1;120,2;2,514892544;25,47266667;123,2428571;s
2;1;2;144,4;2,598327171;25,99068852;144,2714286;s
3;1;3;131,6;2,331751749;23,15545777;124,5714286;s
4;1;4;91,6;2,614225641;26,5182;112,1428571;s
5;1;5;103,8;2,626424589;25,60300968;104,5;ns
6;1;6;114,8;2,642885628;26,05151417;143,9857143;s
7;1;7;113;2,832908333;26,75458561;136,0714286;s
8;1;8;76;2,316612698;24,25470916;68,05714286;ns
9;1;9;120,2;2,638239819;25,9957563;137,7;s
10;1;10;102,8;2,59474697;24,21267273;103,4428571;ns
11;1;11;102,8;2,083214627;24,93297744;93,82857143;ns
12;1;12;157,2;2,537056863;24,4664152;141;s
13;1;13;61,4;2,385777778;25,28966667;67,65714286;ns
14;1;14;146,8;2,362866667;24,2463;120,9857143;s
15;1;15;77,8;2,237090909;26,41465455;64,8;ns
16;1;16;100,8;2,57198164;26,94362941;112,6785714;s
17;1;17;117,2;2,584359244;24,67622339;113,4428571;s
18;1;18;92,6;2,541851832;23,51563114;80,32857143;ns
19;1;19;95,4;2,331794872;24,16452564;83,78571429;ns
20;1;20;116,4;2,540746032;25,68522222;122,6;s
21;1;21;75,6;2,089296392;24,88977201;70,82857143;ns
22;1;22;121,2;2,547170817;25,20391887;131,2142857;s
23;2;23;105,4;2,609967023;26,37269942;102,5857143;ns
24;2;24;117,2;2,507468864;24,00332112;121,6571429;s
25;2;25;121;2,480213235;25,08963382;126,9857143;s
26;2;26;123,8;2,523864377;26,85697747;134,6142857;s
27;2;27;133,8;2,70837602;24,22933113;141,7142857;s
28;2;28;146,6;2,530389744;27,09498462;168,3857143;s
29;2;29;106,8;2,553867074;27,22168678;120,3285714;s
30;2;30;43,6;1,772233333;22,0235;23,37142857;ns
31;2;31;94,6;2,254573232;25,67559343;94,01428571;ns
32;2;32;70;2,400111264;25,4977967;75,3;ns
33;2;33;88,4;2,377462594;23,81083827;80,08571429;ns
34;2;34;124,8;2,50707402;24,81149853;128,0714286;s
35;2;35;114,6;2,469206391;24,85210188;102,7428571;ns
36;2;36;105,2;2,464360714;24,83779958;105,5285714;ns
37;2;37;96,8;2,507115984;25,53605711;108,9285714;ns
38;2;38;146,4;2,647515867;25,50205224;159,0428571;s
39;2;39;136,6;2,666677012;25,42620085;145,2714286;s
40;2;40;83,2;2,395910354;25,28066919;88,04285714;ns
41;2;41;95,8;2,164729138;25,89989371;87,58571429;ns
42;2;42;118,6;2,863645425;28,20611765;159,4428571;s
43;2;43;107,4;2,651922161;26,34344338;117,5285714;s
44;2;44;86,4;2,037023687;23,15778755;57,28571429;ns
45;3;45;129,4;2,511191742;24,14704129;115,5;s
46;3;46;109,2;2,367967308;24,60444551;95,38571429;ns
47;3;48;94,4;2,511451627;26,67408513;102,7857143;ns
48;3;49;124;2,300397773;24,11335628;113,6857143;s
49;3;50;131,2;2,645877922;25,12526061;123,0714286;s
50;3;51;108,8;2,508034962;24,99889893;97,7;ns
51;3;52;92,2;2,465472727;25,85354242;98,55714286;ns
52;3;53;122,8;2,580980311;25,31776786;121,6142857;s
53;3;54;117,2;2,695670583;26,50262811;120,4714286;s
54;3;55;113,4;2,708848019;25,04445886;112,5285714;s
55;3;56;125,8;2,256028571;25,42879524;121,9;s
56;3;57;92,6;2,29793199;22,97344151;81,54285714;ns
57;3;59;93,4;2,369476648;23,86404176;78,2;ns
58;3;60;101,2;2,522138866;26,26480968;109,3857143;ns
59;3;61;147,2;2,638921732;25,37780065;149,3;s
60;3;62;107,8;2,396261072;23,27341929;78,17142857;ns
61;3;63;113;2,780174725;25,62700549;102,6285714;ns
62;3;64;113;2,694740196;24,78986846;106,2285714;ns
63;3;65;125;2,68544183;25,97435425;136,1428571;s
64;3;66;132,8;2,514666667;26,856125;134,4857143;s
65;3;67;124,8;2,715675918;25,77733605;123,9428571;s
66;3;68;98,8;2,595470822;27,48723343;109,6857143;ns
67;4;47;86,8;2,584292063;27,41260403;100,5142857;ns
68;4;58;84,4;2,314281197;21,80439829;57,78571429;ns
69;4;69;153,2;2,8675;24,31423268;141,7;s
70;4;70;102;2,626829186;29,28538849;134,4285714;s
71;4;71;128,4;2,399433333;24,353275;103,3;ns
72;4;72;92,4;2,480894372;26,54401602;94,5;ns
73;4;73;104,6;2,507698485;24,42645455;107,0571429;s
74;4;74;76,8;2,237936364;24,15316061;63,71428571;ns
75;4;75;113,8;2,95995614;27,43880833;155,3571429;s
76;4;76;116,2;2,684526862;23,26808547;113,2857143;s
77;4;77;64,6;1,9286;23,1672;48,47142857;ns
78;4;78;112;2,745869131;25,88694406;128,9571429;s
79;4;80;100,4;2,735125;25,82124167;110,7571429;s
80;4;81;127;2,447019556;25,07249064;118,2;s
81;4;82;73,2;2,236337241;26,66438291;71,47142857;ns
82;4;83;83,2;2,537487179;25,77495971;84,14285714;ns
83;4;84;106,8;2,621958199;25,0673719;111,7142857;s
84;4;85;108;2,50864026;22,22504675;88,07142857;ns
85;4;88;119,2;2,596138528;24,10715238;104,8142857;s
86;4;89;106;2,5358663;27,0015087;107,4;ns
87;4;90;156,4;2,648420707;25,48879444;151,9142857;s
88;4;118;93,6;2,546533333;25,68755238;99,21428571;ns
89;5;93;82,2;2,128290043;23,45498442;63,92857143;ns
90;5;94;110,8;2,815032234;25,4207456;128,7;s
91;5;95;127,6;2,48845641;24,42777949;114,0428571;s
92;5;96;123;2,630765934;24,68997836;118,1142857;s
93;5;97;87,4;2,1211;23,27476667;73,94285714;ns
94;5;98;101,2;2,555054902;26,25956162;107,6714286;s
95;5;99;90;2,4815;24,92012821;81,65714286;ns
96;5;100;119;3,038204762;25,48739524;123,9857143;s
97;5;101;115;2,713916221;25,05137344;114,7571429;s
98;5;102;95,6;2,744802531;25,84391675;111,6714286;s
99;5;103;129,8;2,470069444;23,98264744;116,1142857;s
100;5;105;82,8;2,421488889;24,99253333;75,71428571;ns
101;5;106;129,4;2,684651494;27,65376074;158,6142857;s
102;5;107;100;2,60990293;26,49961722;106,7857143;ns
103;5;108;100;2,630932601;25,57019267;101,8428571;ns
104;5;109;108,6;2,573078113;25,61151451;99,17142857;ns
105;5;111;120,4;2,681321429;25,10646429;124,2;s
106;5;112;98,6;2,604866667;27,0171;122,2142857;s
107;5;113;126,2;2,754322838;27,84939561;137,4285714;s
108;5;117;150,2;2,8730992;24,86440149;160,6857143;s
109;5;119;75,4;2,608443969;25,55938711;74,2;ns
110;5;121;55,8;2,137421429;22,66688571;41,28571429;ns
